type_of_locomotive,year,trainkilometres,locomotivekilometres
SSS,2005,48227,67559
SSS,2006,50880,72020
SSS,2007,52577,73336
SSS,2008,53259,74901
SSS,2009,50019,69244
SSS,2010,51000,70822
SSS,2011,51070,71813
SSS,2012,50890,71246
SSS,2013,50461,70289
SSS,2014,49670,68825
SSS,2015,48554,65961
SSS,2016,46828,65219
SSS,2017,48098,67647
SSS,2018,50513,68536
SSS,2019,51470,72708
SSS,2020,47725,67354
SSS,2021,47437,68569
SSS,2022,48701,64187
SSS,2023,47398,61869
SSS,2024,48563,62212
010,2005,9485,21510
010,2006,10225,23127
010,2007,8762,20033
010,2008,9018,20817
010,2009,7547,17421
010,2010,7690,17847
010,2011,7739,18189
010,2012,7571,17677
010,2013,7303,17059
010,2014,6683,15902
010,2015,5644,13331
010,2016,4960,12282
010,2017,5060,12684
010,2018,5589,10745
010,2019,5381,14306
010,2020,5123,13272
010,2021,5349,13896
010,2022,4895,9320
010,2023,4898,8998
010,2024,4365,7158
020,2005,9485,21510
020,2006,8993,21515
020,2007,7100,17863
020,2008,7418,18658
020,2009,5989,15322
020,2010,6177,15854
020,2011,6204,16122
020,2012,6219,15905
020,2013,5992,15316
020,2014,5257,14076
020,2015,4113,11506
020,2016,3404,10516
020,2017,3359,10723
020,2018,3819,8668
020,2019,3499,11963
020,2020,3290,11069
020,2021,3704,12028
020,2022,3366,7421
020,2023,3363,7108
020,2024,2702,5271
040,2005,0,0
040,2006,1232,1612
040,2007,1662,2170
040,2008,1600,2159
040,2009,1558,2099
040,2010,1513,1993
040,2011,1535,2067
040,2012,1352,1772
040,2013,1311,1743
040,2014,1426,1826
040,2015,1531,1825
040,2016,1556,1766
040,2017,1701,1961
040,2018,1770,2077
040,2019,1882,2343
040,2020,1833,2203
040,2021,1645,1868
040,2022,1529,1899
040,2023,1535,1890
040,2024,1663,1887
050,2005,38742,46049
050,2006,40655,48893
050,2007,43815,53303
050,2008,44241,54084
050,2009,42472,51823
050,2010,43310,52975
050,2011,43331,53624
050,2012,43319,53569
050,2013,43158,53230
050,2014,42988,52923
050,2015,42910,52630
050,2016,41868,52937
050,2017,43037,54963
050,2018,44923,57791
050,2019,46090,58402
050,2020,42602,54082
050,2021,42088,54673
050,2022,43806,54867
050,2023,42500,52871
050,2024,44200,55054
060,2005,27311,31207
060,2006,27882,32026
060,2007,28830,33653
060,2008,28604,33405
060,2009,26942,31181
060,2010,27771,32234
060,2011,27085,31519
060,2012,27217,31347
060,2013,27204,31527
060,2014,27269,31846
060,2015,26219,30586
060,2016,25138,29991
060,2017,25640,30755
060,2018,27128,33163
060,2019,27880,32940
060,2020,25253,30425
060,2021,25450,31045
060,2022,26403,30147
060,2023,25827,28360
060,2024,26799,29723
070,2005,11431,14842
070,2006,12773,16867
070,2007,14985,19650
070,2008,15637,20679
070,2009,15530,20642
070,2010,15539,20741
070,2011,16246,22105
070,2012,16102,22222
070,2013,15954,21703
070,2014,15719,21077
070,2015,16691,22044
070,2016,16730,22946
070,2017,17397,24208
070,2018,17795,24628
070,2019,18210,25462
070,2020,17349,23657
070,2021,16638,23628
070,2022,17403,24720
070,2023,16673,24511
070,2024,17401,25331
